,age_first_funding_year,age_last_funding_year,age_first_milestone_year_impute,age_last_milestone_year_impute,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,lat_decile,long_decile,labels
47,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,8,9,1
48,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,4,0,1
49,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,4,2,1
50,2.5836,2.5836,2.0,2.0,5,1,3000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,4,1,1
51,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,8,9,1
52,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,6,1
53,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,8,9,1
54,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,5,0,1
55,1.1863,3.4986,4.91339394501386,5.448529697965802,0,2,12050000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,3,2,0
56,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,3,2,1
57,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,0,5,1
58,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,2,3,1
59,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,6,6,1
60,2.7836,10.9507,0.0,0.0,10,3,19009671,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,9,9,0
61,3.4986,3.4986,3.0,3.0,6,1,5000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,5,0,0
62,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,9,2,1
63,6.3726,6.3726,8.94960677242192,9.924341266008367,0,1,4000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,7,0
64,1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,2030882,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,8,9,1
65,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,5,1,1
66,1.0877,1.0877,1.527553476816891,1.6939249278218151,5,1,20500000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,9,2,0
67,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,7,8,1
68,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,3,2,1
69,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,5,1,1
70,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,5,1,1
71,0.0,0.0,0.1369999999999999,0.1369999999999999,3,1,355000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,2,3,1
72,0.0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,0,7,1
73,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,4,1,1
74,1.8055,1.8055,2.535623611651096,2.811787677836065,1,1,3000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,6,0
75,2.6986,4.0027,1.0,1.0,2,2,19700000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,3,4,0
76,9.1671,9.1973,12.916583242004224,14.323375690590773,0,2,17800000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,2,3,0
77,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,4,0,1
78,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,7,8,1
79,0.0,1.3425,0.0,1.5479,4,7,457282,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,8,9,0
80,0.0,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,4,0,1
81,2.0466,2.0466,2.874221702356762,3.187263728307555,2,1,12000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,6,7,0
82,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,6,5,0
83,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,3,3,1
84,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,7,7,1
85,5.4411,5.4411,7.641418794436321,8.473673737952817,1,1,1000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,6,7,0
86,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,4,1
87,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,8,7,0
88,0.8822,0.8822,1.2389516201598432,1.3738903845953898,7,1,12000000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,2,3,0
89,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,9,2,1
90,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,2,4,1
91,1.1671,4.6658,6.552596315282018,7.266263609663534,1,3,15564591,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,1,6,0
92,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,4,0,1
93,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,4,0,1
94,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,8,8,1
95,3.7233,3.7233,5.228960062730836,5.7984652788075435,1,1,4000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,2,3,0
96,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,8,6,1
97,1.4082,1.4082,0.0,0.0,1,1,5500000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,6,7,0
98,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,4,0,1
99,0.7507,3.0137,4.232405914390976,4.693372763608169,3,3,54000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,5,1,0
100,20.8055,20.8055,29.21900695220541,32.40135615132553,2,1,32000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,1,7,0
101,5.789,5.789,8.130005587287839,9.015474310159501,1,1,13000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,6,5,1
102,0.0849,1.2712,1.7852587843427712,1.9796978654473585,5,3,12500000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,9,2,1
103,2.3507,8.2822,1.0027,8.2849,16,4,38064570,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,1,4,1
104,0.0,1.2548,2.1726,4.6,21,2,6000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,4,0,1
105,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,5,7,0
106,0.0,7.1068,6.0055,10.9041,9,3,59000000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,6,7,1
107,1.0356,1.0356,0.0,1.0356,2,1,1000000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,6,5,0
108,2.7233,2.7233,0.9151,6.3096,5,1,600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1,4,0,1
109,2.8356,3.1397,3.3781,3.7753,0,2,125000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,8,9,0
110,0.7945,2.9014,3.0493,6.5233,11,2,2750000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1,4,1
111,2.9178,4.7342,6.648656495308014,7.372786056168097,1,2,30000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,2,4,1
112,4.0137,4.0137,5.636794511262257,6.250718472739194,0,1,7000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,3,4,0
113,0.411,0.411,0.0,2.5342,10,1,6100000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,3,2,1
114,0.5315,1.9205,2.2548,2.9781,12,3,2100000,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,1,0,5,0
115,0.1452,0.5014,0.4959,3.011,10,2,2565000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,1,4,0,1
116,10.7589,10.7589,15.109676474878414,16.755326749969782,0,1,2000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,4,1,0
117,2.5671,5.6904,2.0027,2.0027,3,3,22400000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.6667,1,1,7,1
118,1.0822,1.0822,6.0027,6.0027,12,1,6250000,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,7,8,1
119,1.7479,1.7479,1.0,2.1096,4,1,575000,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0,7,8,1
120,0.0,0.5808,0.0,0.0,1,2,53000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,8,9,0
121,0.9151,2.7753,3.0027,3.6466,6,2,9500000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.5,1,3,2,1
122,0.0,0.8192,0.0,0.2521,7,2,3500000,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1,7,8,0
123,0.7726,1.4959,0.0,3.7534,14,3,10500000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.3333,1,7,8,1
124,0.7562,4.4137,2.7836,4.0027,14,4,34250000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.25,1,3,4,1
125,0.6795,4.5507,6.390951187782134,7.087013118542553,2,5,85381111,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.6667,1,8,9,1
126,6.1671,7.9205,8.0055,11.2548,6,3,100000000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,1,6,7,1
127,0.0,1.4877,0.4055,1.3205,3,2,125000,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0,1,6,7,0
128,2.3178,4.2356,0.0,0.0,2,2,10600000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1,6,7,0
129,2.4192,5.4384,2.0027,2.0027,2,3,26100000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.5,1,4,4,1
130,7.5315,7.5315,10.7342,10.7342,2,1,30000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,8,8,1
131,1.0575,1.7699,1.0301,1.1123,6,3,132885,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1,8,6,0
132,0.6,4.2247,0.0,4.4767,9,3,9500000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,1,4,2,1
133,6.1233,6.1233,6.0055,6.0055,9,1,18000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,1,3,3,1
134,1.8329,1.8329,1.7479,1.7479,4,1,690000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1,6,6,0
135,5.1644,6.0055,8.434055718510471,9.352639656186367,1,3,25131611,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1,0,6,1
136,3.5288,3.5288,4.955806480639373,5.495561538381559,1,1,2000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,2,4,0
137,1.5836,6.6466,5.0055,7.0877,4,3,78750000,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3.5,1,8,9,1
138,0.2521,4.4055,3.3151,6.7918,27,5,48500000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.5,1,4,2,1
139,0.5726,0.5726,5.1671,8.0082,12,1,15000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.0,0,5,1,0
140,0.9397,5.3178,7.468257680442092,8.281653012016962,13,5,74000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5.3333,1,1,3,1
141,0.7479,2.3315,2.0,2.0,6,2,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,1,5,1,1
142,2.0027,3.9178,3.0027,5.2192,8,3,45000000,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,1,6,0
143,1.9178,1.9178,2.0027,2.0027,4,1,4410000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,2,4,1
144,0.0,0.8959,2.0,2.6767,9,2,4500000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,6,7,1
145,1.6712,3.7863,4.6685,5.6849,11,3,11040000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.5,1,5,1,1
146,1.8822,1.8822,1.3288,2.9479,6,1,1600000,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0,1,4,0,1
147,3.4164,3.874,7.7534,7.7534,3,2,9000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,7,7,1
148,1.3041,2.6493,0.0,3.6767,4,3,3282327,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,4,1,1
149,4.1644,4.1644,5.5836,11.3918,5,2,24700000,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1,4,2,1
150,5.6986,6.8877,9.673007338670315,10.726530040781757,2,2,8800000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,0,7,0
151,1.1836,1.1836,0.9178,0.9178,1,1,1700000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1,4,0
152,0.2493,0.2493,0.0,0.7781,1,1,20000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,5,2,0
153,3.1041,4.9205,5.0027,8.3534,10,2,11500000,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,4,4,1
154,2.3068,9.4247,4.4986,11.4164,12,7,98170000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,5.2,1,6,0,0
155,1.2219,1.2219,0.7479,2.6849,2,1,1350000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,1,5,1,1
156,4.7068,4.7068,2.989,6.863,17,1,940261,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,8,6,1
157,1.6658,3.6712,3.6658,3.6712,12,2,4000000,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0,1,8,9,1
158,1.9562,1.9562,1.0027,1.0027,5,1,5000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,2,3,0
159,0.0027,0.0027,0.5836,0.5836,3,1,20000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,6,7,0
